"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867300.958,"2026-03-18 16:55:00.958 UTC-04:00"
"PAUSE",3.500945115E1,1773867335.967,"2026-03-18 16:55:35.967 UTC-04:00"
