"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867545.359,"2026-03-18 16:59:05.359 UTC-04:00"
"PAUSE",3.501722977E1,1773867580.376,"2026-03-18 16:59:40.376 UTC-04:00"
