"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867469.229,"2026-03-18 16:57:49.229 UTC-04:00"
"PAUSE",3.502164523E1,1773867504.251,"2026-03-18 16:58:24.251 UTC-04:00"
