"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867772.115,"2026-03-18 17:02:52.115 UTC-04:00"
"PAUSE",3.500936757E1,1773867807.124,"2026-03-18 17:03:27.124 UTC-04:00"
