"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867936.049,"2026-03-18 17:05:36.049 UTC-04:00"
"PAUSE",3.501965130E1,1773867971.068,"2026-03-18 17:06:11.068 UTC-04:00"
