"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867181.431,"2026-03-18 16:53:01.431 UTC-04:00"
"PAUSE",3.502430589E1,1773867216.455,"2026-03-18 16:53:36.455 UTC-04:00"
