"event","experiment time","system time","system time text"
"START",0.000000000E0,1773868077.360,"2026-03-18 17:07:57.360 UTC-04:00"
"PAUSE",3.502548008E1,1773868112.385,"2026-03-18 17:08:32.385 UTC-04:00"
