"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773866791967480E9,"2026-03-18 16:46:31.967 UTC-04:00"
"PAUSE",3.564914354163920E1,1.773866827616249E9,"2026-03-18 16:47:07.616 UTC-04:00"
