"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867847.011,"2026-03-18 17:04:07.011 UTC-04:00"
"PAUSE",3.501214331E1,1773867882.023,"2026-03-18 17:04:42.023 UTC-04:00"
