"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867514.870,"2026-03-18 16:58:34.870 UTC-04:00"
"PAUSE",3.501714182E1,1773867549.887,"2026-03-18 16:59:09.887 UTC-04:00"
