"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867768.064,"2026-03-18 17:02:48.064 UTC-04:00"
"PAUSE",3.501063969E1,1773867803.074,"2026-03-18 17:03:23.074 UTC-04:00"
