"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867847.005,"2026-03-18 17:04:07.005 UTC-04:00"
"PAUSE",3.501487335E1,1773867882.019,"2026-03-18 17:04:42.019 UTC-04:00"
