"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867338.536,"2026-03-18 16:55:38.536 UTC-04:00"
"PAUSE",3.502728646E1,1773867373.563,"2026-03-18 16:56:13.563 UTC-04:00"
