"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867200.286,"2026-03-18 16:53:20.286 UTC-04:00"
"PAUSE",3.502130085E1,1773867235.307,"2026-03-18 16:53:55.307 UTC-04:00"
