"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867656.286,"2026-03-18 17:00:56.286 UTC-04:00"
"PAUSE",3.501192201E1,1773867691.298,"2026-03-18 17:01:31.298 UTC-04:00"
