"event","experiment time","system time","system time text"
"START",0.000000000E0,1773868007.633,"2026-03-18 17:06:47.633 UTC-04:00"
"PAUSE",3.500916489E1,1773868042.642,"2026-03-18 17:07:22.642 UTC-04:00"
