"event","experiment time","system time","system time text"
"START",0.000000000E0,1773866786.950,"2026-03-18 16:46:26.950 UTC-04:00"
"PAUSE",3.502931366E1,1773866821.980,"2026-03-18 16:47:01.980 UTC-04:00"
