"event","experiment time","system time","system time text"
"START",0.000000000E0,1773866790.443,"2026-03-18 16:46:30.443 UTC-04:00"
"PAUSE",3.501807908E1,1773866825.461,"2026-03-18 16:47:05.461 UTC-04:00"
