"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867659.816,"2026-03-18 17:00:59.816 UTC-04:00"
"PAUSE",3.501324369E1,1773867694.829,"2026-03-18 17:01:34.829 UTC-04:00"
