"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867424.387,"2026-03-18 16:57:04.387 UTC-04:00"
"PAUSE",3.501231126E1,1773867459.400,"2026-03-18 16:57:39.400 UTC-04:00"
