"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.694083287E-3,3.441264167E0,1.453742942E0,-1.074279345E1,1.137379790E1
1.564008329E-2,1.002595755E0,6.477756000E-1,-5.290481785E0,5.423468355E0
2.558608330E-2,-4.744532522E0,2.277112767E0,1.360749993E0,5.435758636E0
3.553208330E-2,-4.158405286E0,-7.429770416E-1,6.893873101E0,8.085161455E0
4.547708330E-2,8.094306475E-1,-2.662854168E0,7.971255330E0,8.443155916E0
5.542308331E-2,-1.343222380E-2,-4.724837345E0,-2.237779716E0,5.227994494E0
6.536908331E-2,1.869508041E0,-5.367046396E0,-1.005613036E1,1.155101749E1
7.531508332E-2,4.566141574E0,-4.233306949E0,-5.121204307E0,8.062088449E0
8.526108332E-2,3.310453182E0,-2.295129792E0,-1.295088100E-1,4.030321769E0
9.520608332E-2,9.035994709E-1,1.356141803E0,2.252628318E-1,1.645100585E0
1.051520833E-1,-3.008743286E-2,3.009960092E0,3.939831249E-1,3.035784530E0
1.150980833E-1,-1.884680396E-1,3.656083853E0,1.250071557E0,3.868481387E0
1.250440833E-1,5.678312981E-1,3.646606686E0,1.557816364E0,4.005866264E0
1.349900833E-1,1.167544540E0,3.067028332E0,1.265616964E0,3.517329859E0
1.449350833E-1,-6.356040359E-2,6.923780440E0,1.136464834E0,7.016717739E0
1.548810833E-1,-4.344539702E-2,7.143552133E0,1.865116782E0,7.383148732E0
1.648270833E-1,-3.677664757E-2,6.006480358E0,9.069323838E-1,6.074675725E0
1.747730833E-1,-3.303869802E-1,4.104429638E0,-1.652388060E0,4.436877789E0
1.847190833E-1,1.125793666E-1,2.618381415E0,-2.133158410E0,3.379195193E0
1.946630833E-1,5.408352882E-1,3.866525145E0,9.919146466E-1,4.028202350E0
2.046090833E-1,4.435183239E-1,6.459194598E0,1.935293895E0,6.757460013E0
2.145550833E-1,-1.956618690E-1,6.222599296E0,5.097052968E-1,6.246505027E0
2.245010833E-1,-7.567741317E-1,7.835412816E0,1.367942069E0,7.989847720E0
2.344470833E-1,-1.430047685E0,9.020382643E0,2.661088893E0,9.512819430E0
2.443920833E-1,-5.686744666E-1,7.343274309E0,4.362696476E0,8.560384849E0
2.543380833E-1,2.155287783E0,3.665459864E0,5.495759400E0,6.948685690E0
2.642840833E-1,3.316253035E0,-1.203753422E0,4.710825663E0,5.885442627E0
2.742300833E-1,3.023413365E0,-1.972977446E0,2.945818475E0,4.659561660E0
2.841760833E-1,2.410456765E0,8.695692605E-1,3.312555256E0,4.188015621E0
2.941210833E-1,-2.276445599E0,8.388104503E0,5.113469025E0,1.008414930E1
3.040670833E-1,-1.006723539E1,1.245326892E1,-2.092175860E0,1.614962337E1
3.140130833E-1,-1.073382967E1,2.016148608E0,-8.050695602E0,1.356811167E1
3.239590833E-1,-1.133025970E1,-4.009016528E0,-7.492842577E0,1.416296891E1
3.339050833E-1,-1.083300546E1,-5.750078782E0,-9.573863704E0,1.555880071E1
3.438510833E-1,-8.985112238E0,-7.221610124E0,-2.339058169E0,1.176244396E1
3.537960833E-1,-9.180346091E0,-1.119159181E1,1.718119535E0,1.457677661E1
3.637420833E-1,-8.102473866E0,-1.263475831E1,1.172069700E0,1.505526312E1
3.736880833E-1,-5.380052943E0,-1.640533883E1,2.278133690E0,1.741464915E1
3.836340833E-1,-2.469765951E-1,-2.050625078E1,3.125965927E0,2.074461331E1
3.935800833E-1,3.689230549E0,-1.962246285E1,1.412371552E0,2.001615007E1
4.035250833E-1,4.110207272E0,-2.258540606E1,2.213182819E-1,2.295742478E1
4.134710833E-1,6.042890970E0,-1.813342026E1,-5.518024720E-2,1.911388256E1
4.234170833E-1,7.306280145E0,-8.925982854E0,-1.270182470E0,1.160466557E1
4.333630833E-1,8.680503293E0,-1.587845909E0,-2.162457054E0,9.085626701E0
4.433090833E-1,9.752852823E0,3.586852235E0,-3.278278878E0,1.089636451E1
4.532550833E-1,8.169861272E0,4.118452431E0,-3.848409301E0,9.925650496E0
4.632000833E-1,5.638570626E0,2.267304647E0,-3.603829626E0,7.065531617E0
4.731460833E-1,3.187249132E0,1.991842902E0,-2.734056298E0,4.647693946E0
4.830920833E-1,7.407884288E-1,1.961433288E0,-1.836008027E0,2.786918283E0
4.930380833E-1,-3.730885017E-1,2.983649960E0,-2.032427841E0,3.629342233E0
5.029840833E-1,-9.382426156E-1,4.377372403E0,-5.153960409E0,6.826785206E0
5.129290833E-1,-2.414742190E0,4.634414833E0,-1.001152195E1,1.129333221E1
5.228750833E-1,-4.175354610E0,4.594168448E0,-1.072152946E1,1.238915509E1
5.328210833E-1,-6.112911962E0,4.640610543E0,-5.337729042E0,9.348492402E0
5.427670833E-1,-7.753105069E0,5.088081000E0,3.257479162E0,9.829057787E0
5.527130833E-1,-9.307958649E0,5.694647178E0,1.200214805E1,1.622093272E1
5.626590833E-1,-1.128820652E1,5.921401616E0,1.303864771E1,1.823438888E1
5.726040833E-1,-1.096656054E1,6.934050490E0,1.160532208E1,1.740775709E1
5.825500833E-1,-8.085171370E0,6.973075976E0,1.073108615E1,1.513770110E1
5.924960833E-1,-4.964658557E0,5.252763151E0,7.873605074E0,1.068798448E1
6.024420833E-1,-3.690992900E0,2.836097227E0,5.207897465E0,6.984917471E0
6.123880833E-1,-3.036248881E0,6.356841427E-1,4.216235418E0,5.234457250E0
6.223330833E-1,-1.539879152E0,-1.658077401E0,4.864698066E0,5.365233988E0
6.322790833E-1,7.105502839E-1,-6.066535356E0,5.476996855E0,8.203976321E0
6.422250833E-1,4.269065012E0,-1.290113640E1,2.826188828E0,1.387989841E1
6.521710833E-1,1.182444999E1,-1.802380134E1,-1.660935169E1,2.721296743E1
6.621170833E-1,1.408271718E1,-1.877489958E1,-2.632448529E1,3.526752477E1
6.720630833E-1,1.101744302E1,-1.610223554E1,1.619612077E0,1.957777269E1
6.820080833E-1,1.120969947E1,-1.772600031E1,8.674695253E0,2.269622847E1
6.919540833E-1,1.149671122E1,-2.199761354E1,1.071233647E1,2.703374785E1
7.019000833E-1,1.001038291E1,-2.290130540E1,9.975186181E0,2.691062790E1
7.118460833E-1,7.907190312E0,-2.062114155E1,7.211067009E0,2.323261985E1
7.217920833E-1,8.868856727E0,-1.658328363E1,6.386208483E0,1.986065393E1
7.317370833E-1,9.821079304E0,-1.260916270E1,5.461885310E0,1.689013836E1
7.416830833E-1,9.037122636E0,-9.679913485E0,3.419507847E0,1.367711024E1
7.516290833E-1,6.843702822E0,-7.013913515E0,1.367790041E0,9.894549040E0
7.615750833E-1,4.702416782E0,-4.782768635E0,-1.346528395E0,6.841106498E0
7.715210833E-1,2.165833528E0,-1.929603385E0,-1.109848075E1,1.147128933E1
7.814670833E-1,-2.959723154E0,1.708961626E0,-3.031257639E1,3.050463569E1
7.914120833E-1,-5.445196187E0,3.792107631E0,-2.753298549E1,2.832129114E1
8.013580833E-1,-5.183678298E0,4.690399584E0,-1.732252606E1,1.867994320E1
8.113040833E-1,-5.885948778E0,4.802970765E0,-1.102433337E1,1.338838480E1
8.212500833E-1,-7.859249575E0,4.552487156E0,-1.151195140E1,1.466349100E1
8.311960833E-1,-1.027406895E1,3.799562246E0,-1.257129380E1,1.667424942E1
8.411420833E-1,-8.539747363E0,3.394700450E0,-6.258160307E0,1.111826635E1
8.510870833E-1,-5.196450371E0,4.830135759E0,2.650739322E0,7.573620459E0
8.610330833E-1,-4.014475488E0,6.651484378E0,6.690008758E0,1.025253506E1
8.709790833E-1,-3.787378988E0,8.287578587E0,8.150297073E0,1.222520105E1
8.809250833E-1,-3.092941145E0,9.584685146E0,9.416481217E0,1.378776968E1
8.908710833E-1,-2.585036791E0,1.078084128E1,1.116583015E1,1.573482497E1
9.008160833E-1,-1.999963808E0,1.177711561E1,1.066987984E1,1.601707349E1
9.107620833E-1,-1.815466174E0,1.237229200E1,9.911285470E0,1.595628736E1
9.207080833E-1,-1.597441775E0,1.292545497E1,9.450100368E0,1.609110324E1
9.306540833E-1,-1.377642746E0,1.300540395E1,8.585343951E0,1.564437798E1
9.406000833E-1,-9.552178136E-1,1.265886521E1,8.017230817E0,1.501450297E1
9.505460833E-1,-1.955519414E-1,1.207001083E1,7.501754318E0,1.421266055E1
9.604910833E-1,9.077868082E-1,1.116119097E1,5.819624981E0,1.261999586E1
9.704370833E-1,1.410939130E0,9.990198323E0,3.483623736E0,1.067382059E1
9.803830833E-1,9.312896915E-1,8.968234835E0,1.553804004E0,9.149363006E0
9.903290833E-1,3.232998624E-2,8.301444674E0,4.388744652E-1,8.313100487E0
1.000275083E0,-2.898293768E-1,7.847453402E0,-3.014333042E-1,7.858586896E0
1.010220083E0,5.440389776E-1,6.864517155E0,-7.978542130E0,1.053919867E1
1.020166083E0,4.918619335E-2,6.142345676E0,-2.273604905E1,2.355119437E1
1.030112083E0,-1.280054178E0,7.255903459E0,-1.972810098E1,2.105907505E1
1.040058083E0,-6.674182977E-1,8.586763070E0,-1.240580005E1,1.510237803E1
1.050004083E0,-5.638969991E-1,9.504787037E0,-7.616809981E0,1.219322561E1
1.059950083E0,-6.476712272E-1,1.040684167E1,-3.321568154E0,1.094324662E1
1.069895083E0,-6.894929986E-1,1.087105680E1,6.289779711E-1,1.091104440E1
1.079841083E0,-3.065002272E-1,9.738281561E0,3.812931905E0,1.046262490E1
1.089787083E0,5.158007267E-1,8.047724047E0,5.086506929E0,9.534383329E0
1.099733083E0,8.054839231E-1,5.980393590E0,4.350324937E0,7.439034810E0
1.109679083E0,8.562985660E-1,3.718190639E0,4.093405006E0,5.595905057E0
1.119624083E0,2.004779136E0,-9.517448598E-1,5.657941282E0,6.077602917E0
1.129570083E0,4.583647845E0,-1.390778603E1,9.117840525E0,1.725025669E1
1.139516083E0,3.703781345E0,-2.096682426E1,-8.794547971E0,2.303627118E1
1.149462083E0,2.287011518E0,-2.791477125E1,-2.492781703E1,3.749481214E1
1.159408083E0,6.909954114E0,-4.888205393E1,-5.330946856E0,4.965502650E1
1.169354083E0,1.136948750E1,-6.501173397E1,1.448339296E1,6.756892385E1
1.179299083E0,1.071743641E1,-5.985600536E1,5.667855821E0,6.107151063E1
1.189248333E0,6.793334906E0,-4.439952696E1,4.843239369E0,4.517659085E1
1.199194333E0,1.503962923E0,-2.524102664E1,1.609352553E0,2.533695613E1
1.209140333E0,1.501461630E0,-1.435165168E1,2.026619364E0,1.457159837E1
1.219086333E0,1.929145694E0,-8.809185306E0,1.896466044E0,9.215201155E0
1.229032333E0,2.333937909E0,-5.341463073E0,5.677107724E-1,5.856687583E0
1.238977333E0,2.192810827E0,-2.270649254E0,-9.925204182E-1,3.308982342E0
1.248923333E0,2.048095163E0,6.282546705E-1,-2.971566689E0,3.663278083E0
1.258869333E0,1.971927286E0,2.951960390E0,-4.357237515E0,5.620327938E0
1.268815333E0,1.606684468E0,5.067853142E0,-5.051960995E0,7.333953936E0
1.278761333E0,8.389406678E-1,6.999767931E0,-5.163689591E0,8.738664814E0
1.288706333E0,-4.080980842E-1,8.702412225E0,-5.214667372E0,1.015338753E1
1.298652333E0,-3.013134545E0,1.010763263E1,-5.420012814E0,1.185832012E1
1.308598333E0,-5.234143862E0,1.153844046E1,-6.176970549E0,1.409563178E1
1.318544333E0,-5.832157903E0,1.233688009E1,-8.896032831E0,1.628963094E1
1.328490333E0,-5.294545015E0,1.244669197E1,-5.979490196E0,1.478873392E1
1.338436333E0,-4.344181852E0,1.234996733E1,-2.109207630E-1,1.309343716E1
1.348381333E0,-3.646338299E0,1.229796921E1,3.360983065E0,1.326016730E1
1.358327333E0,-2.975454503E0,1.209250273E1,5.585328219E0,1.364836412E1
1.368273333E0,-2.517979460E0,1.195222569E1,6.197152798E0,1.369673765E1
1.378219333E0,-2.013678452E0,1.186825382E1,6.361893421E0,1.361558069E1
1.388165333E0,-1.880600502E0,1.167013262E1,6.612976370E0,1.354474474E1
1.398110333E0,-1.783043071E0,1.112931428E1,6.222463056E0,1.287477866E1
1.408056333E0,-1.395176645E0,1.040396250E1,5.192520458E0,1.171115803E1
1.418002333E0,-1.018169376E0,9.540787175E0,3.823649851E0,1.032877471E1
1.427948333E0,-8.074880563E-1,8.911734359E0,2.628598255E0,9.326337708E0
1.437894333E0,-9.188140722E-1,8.810405620E0,1.390494779E0,8.966657249E0
1.447840333E0,-1.519720877E0,8.832277715E0,-3.418738353E-1,8.968587341E0
1.457785333E0,-2.059088221E0,9.055124459E0,-2.489956094E0,9.614312488E0
1.467731333E0,-2.236927338E0,9.133933232E0,-5.086085345E0,1.069115730E1
1.477677333E0,-1.906244928E0,8.535053219E0,-7.873831946E0,1.176767321E1
