"event","experiment time","system time","system time text"
"START",0.000000000E0,1773867973.492,"2026-03-18 17:06:13.492 UTC-04:00"
"PAUSE",3.502215731E1,1773868008.514,"2026-03-18 17:06:48.514 UTC-04:00"
